season,primary_team,compared_against_team,stat_bin,difference,absolute_difference
2017,Michigan,Ohio State,(70 | 72],0,0
2017,Michigan,Ohio State,(72 | 74],0,0
2017,Michigan,Ohio State,(74 | 76],0,0
2017,Michigan,Ohio State,(78 | 80],0,0
2017,Michigan,Ohio State,(82 | 84],0,0
2017,Michigan,Ohio State,(84 | 86],0,0
2017,Michigan,Ohio State,(86 | 88],0,0
2017,Michigan,Ohio State,(88 | 90],0,0
2017,Michigan,Ohio State,(90 | 92],0,0
2017,Michigan,Ohio State,(92 | 94],0,0
2017,Michigan,Ohio State,(94 | 96],0,0
2017,Michigan,Ohio State,(96 | 98],0,0
2017,Michigan,Penn State,(2 | 4],0.078527716,0.078527716
2017,Michigan,Penn State,(6 | 8],-0.059977051,0.059977051
2017,Michigan,Penn State,(8 | 10],0.038086972,0.038086972
2017,Michigan,Penn State,(-6 | -4],-0.038072261,0.038072261
2017,Michigan,Penn State,(-2 | 0],0.035939155,0.035939155
2017,Michigan,Penn State,(-8 | -6],-0.026759445,0.026759445
2017,Michigan,Penn State,(-4 | -2],-0.017770978,0.017770978
2017,Michigan,Penn State,(12 | 14],0.016167471,0.016167471
2017,Michigan,Penn State,(28 | 30],-0.009518065,0.009518065
2017,Michigan,Penn State,(0 | 2],0.008120513,0.008120513
2017,Michigan,Penn State,(48 | 50],0.006825939,0.006825939
2017,Michigan,Penn State,(58 | 60],0.006825939,0.006825939
2017,Michigan,Penn State,(4 | 6],-0.006443451,0.006443451
2017,Michigan,Penn State,(14 | 16],-0.005384253,0.005384253
2017,Michigan,Penn State,(24 | 26],-0.005207721,0.005207721
2017,Michigan,Penn State,(34 | 36],-0.005207721,0.005207721
2017,Michigan,Penn State,(32 | 34],-0.004310345,0.004310345
2017,Michigan,Penn State,(42 | 44],-0.004310345,0.004310345
2017,Michigan,Penn State,(52 | 54],-0.004310345,0.004310345
2017,Michigan,Penn State,(64 | 66],-0.004310345,0.004310345
2017,Michigan,Penn State,(68 | 70],-0.004310345,0.004310345
2017,Michigan,Penn State,(78 | 80],-0.004310345,0.004310345
2017,Michigan,Penn State,(10 | 12],-0.003766035,0.003766035
2017,Michigan,Penn State,(18 | 20],0.003412969,0.003412969
2017,Michigan,Penn State,(22 | 24],0.003412969,0.003412969
2017,Michigan,Penn State,(46 | 48],0.003412969,0.003412969
2017,Michigan,Penn State,(66 | 68],0.003412969,0.003412969
2017,Michigan,Penn State,(76 | 78],0.003412969,0.003412969
2017,Michigan,Penn State,(16 | 18],-0.001794751,0.001794751
2017,Michigan,Penn State,(20 | 22],-0.000897376,0.000897376
2017,Michigan,Penn State,(30 | 32],-0.000897376,0.000897376
2017,Michigan,Penn State,(-22 | -20],0,0
2017,Michigan,Penn State,(-20 | -18],0,0
2017,Michigan,Penn State,(-18 | -16],0,0
2017,Michigan,Penn State,(-16 | -14],0,0
2017,Michigan,Penn State,(-14 | -12],0,0
2017,Michigan,Penn State,(-12 | -10],0,0
2017,Michigan,Penn State,(-10 | -8],0,0
2017,Michigan,Penn State,(26 | 28],0,0
2017,Michigan,Penn State,(36 | 38],0,0
2017,Michigan,Penn State,(38 | 40],0,0
2017,Michigan,Penn State,(40 | 42],0,0
2017,Michigan,Penn State,(44 | 46],0,0
2017,Michigan,Penn State,(50 | 52],0,0
2017,Michigan,Penn State,(54 | 56],0,0
2017,Michigan,Penn State,(56 | 58],0,0
2017,Michigan,Penn State,(60 | 62],0,0
2017,Michigan,Penn State,(62 | 64],0,0
2017,Michigan,Penn State,(70 | 72],0,0
2017,Michigan,Penn State,(72 | 74],0,0
2017,Michigan,Penn State,(74 | 76],0,0
2017,Michigan,Penn State,(80 | 82],0,0
2017,Michigan,Penn State,(82 | 84],0,0
2017,Michigan,Penn State,(84 | 86],0,0
2017,Michigan,Penn State,(86 | 88],0,0
2017,Michigan,Penn State,(88 | 90],0,0
2017,Michigan,Penn State,(90 | 92],0,0
2017,Michigan,Penn State,(92 | 94],0,0
2017,Michigan,Penn State,(94 | 96],0,0
2017,Michigan,Penn State,(96 | 98],0,0
2017,Michigan,Wisconsin,(4 | 6],-0.03791742,0.03791742
2017,Michigan,Wisconsin,(2 | 4],0.034477682,0.034477682
2017,Michigan,Wisconsin,(6 | 8],-0.030649803,0.030649803
2017,Michigan,Wisconsin,(-4 | -2],0.027665127,0.027665127
2017,Michigan,Wisconsin,(8 | 10],0.021200562,0.021200562
2017,Michigan,Wisconsin,(10 | 12],-0.018302884,0.018302884
2017,Michigan,Wisconsin,(14 | 16],0.00871311,0.00871311
2017,Michigan,Wisconsin,(48 | 50],0.006825939,0.006825939
2017,Michigan,Wisconsin,(58 | 60],0.006825939,0.006825939
2017,Michigan,Wisconsin,(-6 | -4],0.00580874,0.00580874
2017,Michigan,Wisconsin,(16 | 18],-0.004938767,0.004938767
2017,Michigan,Wisconsin,(0 | 2],-0.004590778,0.004590778
